"id_hist","id","orientacao","velocidade","aceleracao","g_posicao","id_terreno","id_rio"
2648,1,"0","(""(0.86,1.38)"",2.7)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E0000000000B047E10640000000703D0A0B40",4,NULL
2649,2,"0","(""(1.36,1.88)"",2.7)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E0000000000B047E10A40000000AE47E13540",4,NULL
2650,1,"0","(""(1.22,1.26)"",3.9)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E000000000088EB511040000000285C8F1240",4,NULL
2651,2,"0","(""(1.72,1.76)"",3.9)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E000000000088EB5114400000000AD7A33740",4,NULL
2652,1,"0","(""(1.58,1.14)"",5.1000004)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E000000000010D7A3164000000050B81E1740",4,NULL
2653,2,"0","(""(2.08,1.64)"",5.1000004)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E000000000008D7A31C4000000014AE473940",4,NULL
2654,1,"0","(""(1.94,1.02)"",6.3)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E00000000007066661E400000003033331B40",4,NULL
2655,2,"0","(""(2.44,1.52)"",6.3)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E00000000003433332340000000CCCCCC3A40",4,NULL
2656,1,"0","(""(2.3000002,0.9)"",7.5)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E0000000000D8CCCC2340000000C8CCCC1E40",4,NULL
2657,2,"0","(""(2.8000002,1.4)"",7.5)","(""(0.36,-0.120000005)"",1.2)","0101000020B30E0000000000D4CCCC28400000003233333C40",4,NULL
2658,1,"0","(""(2.9480002,0.68399996)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E0000000000202DB22940000000A29BC42040",4,2
2659,2,"0","(""(3.4480002,1.184)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E00000000001C2DB22F40000000D24D623D40",4,2
2660,1,"0","(""(3.5960002,0.46799994)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E000000000008AA7130400000005239B42140",4,2
2661,2,"0","(""(4.096,0.968)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E000000000006AAF13340000000AB1C5A3E40",4,2
2662,1,"0","(""(4.2440004,0.2519999)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E0000000000D820B03440000000743F352240",4,2
2663,2,"0","(""(4.7440004,0.752)"",7.5)","(""(0.648,-0.216)"",1.44)","0101000020B30E0000000000D620B03840000000BD9F1A3F40",4,2
2664,2,"0","(""(5,1.752)"",7.5)","(""(1,1)"",2)","0101000020B30E0000000000D620B03D4000008067916D4040",2,2
2665,1,"0","(""(5,1.2519999)"",7.5)","(""(1,1)"",2)","0101000020B30E0000000000D820B039400000009445B62440",3,2
2666,2,"0","(""(5,2.7519999)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006B10584140000080EFD2CD4140",2,2
2667,1,"0","(""(5,2.2519999)"",7.5)","(""(1,1)"",2)","0101000020B30E0000000000D820B03E40000000B44B372940",3,2
2668,2,"0","(""(5,3.7519999)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006B10D843400000807714AE4340",2,2
2669,1,"0","(""(5,3.2519999)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006C10D84140000000D451B82F40",3,2
2670,2,"0","(""(5,4.752)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006B10584640000080FF550E4640",2,2
2671,1,"0","(""(5,4.252)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006C10584440000000FAAB1C3440",3,2
2672,2,"0","(""(5,5)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006B10D84840000080FF558E4840",1,2
2673,1,"0","(""(5,5)"",7.5)","(""(1,1)"",2)","0101000020B30E00000000006C10D84640000000FAAB1C3940",1,2
